No,Jenis Barang/Jasa,Satuan,Vol,Harga/Biaya,Pajak (%),Total
1,Sewa Direksi Keet,Ls,"1,00","200.000,00",11%,"222.000,00"
69,Induksi K3 (Safety Induction),Org,"5,00","10.000,00",11%,"55.500,00"
70,Pertemuan Keselamatan (Safety Talk dan / atau Tool Box Meeting),Org,"5,00","10.000,00",11%,"55.500,00"
71,Topi Pelindung (Safety Helmet),Bh,"5,00","25.000,00",11%,"138.750,00"
72,Sarung Tangan (Safety Gloves),bh,"5,00","10.000,00",11%,"55.500,00"
73,Sepatu Keselamatan (Safety Shoes),psg,"5,00","87.500,00",11%,"485.625,00"
74,Rompi Keselamatan (Safety Vest),psg,"5,00","10.000,00",11%,"55.500,00"
75,"Peralatan P3K Umum (Kotak P3K, Tandu, Obat Luka, Perban,dll)",set,"1,00","190.000,00",11%,"210.900,00"
25,"Pemasangan 1 m2 dinding bata ringan tebal 7,5 cm dengan mortar siap pakai",m²,"38,80","97.900,00",11%,"4.216.357,20"
26,Pemasangan 1 m2 plesteran 1SP : 5PP tebal 15 mm,m²,"51,35","56.600,00",11%,"3.226.115,10"
27,Pemasangan 1 m2 acian,m²,"51,35","44.500,00",11%,"2.536.433,25"
24,Pemasangan 1 m2 dinding kerawang (rooster) 20x20 (Setara Campuran 1SP : 3PP),m²,"0,16","229.400,00",11%,"40.741,44"
23,"Pemasangan 1 m2 glass block 20x20 cm, 1PC : 3PP",m²,"0,08","145.700,00",11%,"12.938,16"
30,Pemasangan 1 m2 lantai keramik artistik uk. 20x20 cm (1SP : 2PP),m²,"15,26","267.900,00",11%,"4.538.594,36"
31,Pemasangan 1 m2 dinding keramik uk. 20x20 cm (1SP : 2PP),m²,"26,25","221.300,00",11%,"6.448.128,75"
22,"Pemasangan 1 m2 rangka plafon besi hollow 40.40, modul 60x60 cm",m²,"19,85","120.400,00",11%,"2.652.365,65"
20,Pemasangan 1 m2 plafon papan gypsum tebal 9 mm,m²,"19,85","73.700,00",11%,"1.623.582,63"
21,Pemasangan 1 m' list plafon gypsum,m',"16,80","21.300,00",11%,"397.202,40"
28,"Pengecatan 1 m2 tembok baru Interior( 1 lapis cat dasar, 2 lapis cat penutup)",m²,"51,35","37.500,00",11%,"2.137.443,75"
29,Pengecatan 1 m2 plafon Interior ( 1 lapis Cat Dasar dan 2 Lapis Cat Penutup),m²,"19,85","32.700,00",11%,"720.368,41"
34,Pemasangan 1 buah closet jongkok,bh,"3,00","569.400,00",11%,"1.896.102,00"
36,"Pemasangan 1 buah kran diameter ½"" atau 3/4""",bh,"5,00","98.500,00",11%,"546.675,00"
35,Pemasangan 1 buah floor drain stainless steel,bh,"4,00","45.600,00",11%,"202.464,00"
37,"Pemasangan 1 m' kabel NYY 3 x 1,5 mm²",m',"15,00","29.000,00",11%,"482.850,00"
42,Pemasangan 1 titik Instalasi Lampu,ttk,"4,00","180.700,00",11%,"802.308,00"
39,Pemasanga 1 Unit Saklar Ganda,unit,"2,00","48.200,00",11%,"107.004,00"
40,"Pemasanga 1 Unit Stop Kontak (1 P, 10 A, 200 W+ cover,hand Dryer 1 Ph. 1000 w)",unit,"1,00","46.100,00",11%,"51.171,00"
43,Pemasangan 1 Unit Fitting + 7 Watt LED,unit,"4,00","75.200,00",11%,"333.888,00"
32,Pemasangan 1 m2 pintu aluminium strip lebar 8 cm,m²,"4,20","1.200.600,00",11%,"5.597.197,20"
68,Pemasangan Signage Acrylic,bh,"1,00","350.000,00",11%,"388.500,00"
68,Membereskan Sisa Pekerjaan,ls,"1,00","170.000,00",11%,"188.700,00"
